src_player_id,ActivityMonth,Product,SubProduct,ActivePlayerDays,Bet_Amount,Win_Amount,Gross_Win,Net_Gross_Win
17865437,12/31/2020,eGaming,Non Table Games,4,2361,3197,-836,-702
19555918,4/30/2021,eGaming,Non Table Games,12,3464,3318,146,123
15898709,12/31/2020,eGaming,Non Table Games,9,85567,89084,-3517,-2954
14563311,12/31/2019,eGaming,Non Table Games,1,0,0,0,0
13008536,5/31/2019,eGaming,Non Table Games,1,164,116,48,40
19497928,6/30/2021,SportsBook,Prematch,5,6,0,6,5
17674690,6/30/2021,SportsBook,Prematch,19,104,0,104,87
14507940,8/31/2020,SportsBook,Livebook,7,51,21,30,25
13254440,7/31/2019,SportsBook,Prematch,1,3,0,3,3
12640151,3/31/2020,SportsBook,Prematch,7,7,10,-3,-2
14021206,2/29/2020,SportsBook,Livebook,6,679,404,275,231
12543281,2/28/2021,eGaming,Non Table Games,2,2801,2853,-52,-44
17515899,4/30/2021,SportsBook,Prematch,1,50,0,50,42
13481571,9/30/2019,SportsBook,Prematch,6,91,0,76,64
13442143,2/29/2020,SportsBook,Livebook,5,53,0,53,45
15956107,4/30/2021,SportsBook,Prematch,2,4,0,4,3
19695661,3/31/2021,eGaming,Non Table Games,2,6195,6202,-7,-6
16144152,7/31/2020,SportsBook,Livebook,2,55,45,10,8
19075359,4/30/2021,eGaming,Non Table Games,13,8211,7455,757,636
12847892,5/31/2020,SportsBook,Livebook,2,40,19,21,18
13662422,10/31/2019,SportsBook,Livebook,1,63,43,20,17
12812987,4/30/2019,eGaming,Non Table Games,1,14,4,10,8
13896776,3/31/2021,SportsBook,Prematch,2,21,0,21,18
13021510,6/30/2019,eGaming,Table Games,1,2075,1675,400,336
15849414,4/30/2021,SportsBook,Livebook,1,98,0,98,82
13177919,3/31/2021,SportsBook,Prematch,27,393,62,332,279
13797879,6/30/2021,SportsBook,Prematch,30,0,0,0,0
13495761,12/31/2019,SportsBook,Prematch,26,2900,3724,-824,-692
12699627,3/31/2019,SportsBook,Livebook,4,152,14,138,116
12665751,3/31/2019,SportsBook,Livebook,2,64,13,51,43
18231081,12/31/2020,Lottery,Lucky Six,1,4,0,4,3
17638453,6/30/2021,eGaming,Non Table Games,1,2568,2086,482,405
17526622,12/31/2020,Lotto,Lotto,17,346,193,153,128
18338985,12/31/2020,eGaming,Non Table Games,4,15,0,14,12
12440536,1/31/2019,SportsBook,Prematch,5,181,121,44,37
13690572,10/31/2019,SportsBook,Prematch,15,10000,0,0,0
12787648,2/29/2020,IVG,IVG,3,107,100,7,6
12810393,7/31/2020,eGaming,Non Table Games,1,7209,6739,470,395
13650487,10/31/2019,eGaming,Non Table Games,2,5378,4778,553,465
19563349,3/31/2021,eGaming,Non Table Games,1,1704,420,1284,1079
12801783,4/30/2019,SportsBook,Prematch,9,195,636,-441,-370
12850041,6/30/2021,eGaming,Non Table Games,7,0,0,0,0
13414139,10/31/2019,SportsBook,Livebook,25,4083,3475,609,511
13231749,8/31/2020,eGaming,Non Table Games,1,170,141,28,23
19477779,6/30/2021,eGaming,Non Table Games,11,6070,5697,374,314
18329368,1/31/2021,SportsBook,Prematch,2,20,0,20,17
14486316,12/31/2020,SportsBook,Livebook,1,5,0,5,4
12702960,10/31/2019,SportsBook,Livebook,1,1,0,1,1
12813624,6/30/2019,SportsBook,Livebook,1,78,30,48,40
19255388,2/28/2021,SportsBook,Livebook,3,14,26,-12,-10
13238470,6/30/2021,SportsBook,Livebook,8,9,0,9,8
17367152,5/31/2021,eGaming,Non Table Games,5,54,1,53,44
12535365,12/31/2020,SportsBook,Prematch,4,366,175,191,161
17905644,6/30/2021,SportsBook,Prematch,1,10,0,10,8
12548399,3/31/2019,SportsBook,Livebook,21,713,204,509,428
18750931,2/28/2021,SportsBook,Livebook,3,10,0,10,8
12489661,10/31/2020,SportsBook,Prematch,7,22,0,22,18
14601152,1/31/2021,Lottery,LuckyX,2,61,26,35,30
15005538,2/29/2020,SportsBook,Prematch,2,80,0,80,67
16430578,8/31/2020,SportsBook,Prematch,2,3000,5825,-2825,-2373
16641316,3/31/2021,eGaming,Non Table Games,17,3887,3069,818,687
13126467,4/30/2021,eGaming,Table Games,8,20350,19218,1133,951
14542196,7/31/2020,SportsBook,Prematch,16,118,0,118,99
17124556,1/31/2021,SportsBook,Livebook,1,10,0,10,8
13862330,11/30/2019,SportsBook,Livebook,15,77,31,46,39
13260817,2/29/2020,SportsBook,Prematch,1,10,0,10,8
15051679,12/31/2020,eGaming,Non Table Games,13,19965,18570,1395,1172
12657799,5/31/2019,eGaming,Non Table Games,1,0,0,0,0
13146184,10/31/2019,IVG,IVG,1,4,0,4,3
19522340,6/30/2021,SportsBook,Prematch,12,496,332,164,137
12868442,4/30/2019,SportsBook,Prematch,2,27,0,27,23
13082015,5/31/2019,SportsBook,Prematch,4,200,0,200,168
12861562,12/31/2019,SportsBook,Livebook,4,110,181,-71,-59
12588157,1/31/2021,eGaming,Non Table Games,12,2,19,-17,-14
17326285,10/31/2020,SportsBook,Livebook,1,25,0,25,21
19530993,3/31/2021,eGaming,Non Table Games,8,0,0,0,0
14596440,2/28/2021,SportsBook,Prematch,6,50,0,50,42
12686059,12/31/2020,eGaming,Non Table Games,2,66,47,19,16
13015628,1/31/2021,SportsBook,Livebook,9,5931,5535,395,332
16711609,10/31/2020,eGaming,Non Table Games,11,11036,10163,873,733
14875670,12/31/2020,SportsBook,Livebook,2,532,337,195,164
12625781,3/31/2020,SportsBook,Prematch,5,307,584,-277,-233
19464578,3/31/2021,eGaming,Non Table Games,11,224,218,6,5
18396417,12/31/2020,SportsBook,Livebook,1,4,0,4,3
15259687,9/30/2020,SportsBook,Livebook,23,1095,610,485,407
12853835,6/30/2019,SportsBook,Prematch,7,146,148,-2,-2
13972601,1/31/2021,SportsBook,Livebook,5,31,0,31,26
14488700,1/31/2021,eGaming,Non Table Games,12,4085,2926,1160,974
13024721,10/31/2020,SportsBook,Prematch,2,25,37,-12,-10
12736883,5/31/2019,SportsBook,Livebook,1,10,14,-4,-3
20178810,5/31/2021,SportsBook,Prematch,2,3000,3226,-226,-190
17771194,2/28/2021,eGaming,Non Table Games,8,0,0,0,0
16819010,8/31/2020,eGaming,Non Table Games,1,0,0,0,0
12501196,1/31/2021,eGaming,Non Table Games,7,0,0,0,0
16252264,12/31/2020,eGaming,Non Table Games,1,35,17,19,16
12830460,8/31/2019,SportsBook,Livebook,1,10,0,10,8
13463710,6/30/2021,SportsBook,Prematch,2,23,0,23,19
19575774,6/30/2021,Lottery,Lucky Six,1,42,30,12,10
14873444,9/30/2020,eGaming,Non Table Games,6,1618,1754,-137,-115
